seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom
AGENT,7.0,BHK,Independent House,Defence Colony,380000.0,5000.0,Semi-Furnished,9.0
AGENT,4.0,BHK,Independent Floor,Gulmohar park,130000.0,2700.0,Semi-Furnished,5.0
AGENT,3.0,BHK,Independent Floor,Sadiq Nagar,125000.0,3600.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Greater Kailash,110000.0,2700.0,Semi-Furnished,5.0
AGENT,4.0,BHK,Independent Floor,Garhi,90000.0,2000.0,Semi-Furnished,4.0
AGENT,5.0,BHK,Independent Floor,Panchsheel Park,200000.0,7000.0,Semi-Furnished,5.0
AGENT,3.0,BHK,Independent House,Greater kailash 1,70000.0,1900.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Greater Kailash,100000.0,1900.0,Semi-Furnished,4.0
AGENT,5.0,BHK,Independent House,Hauz Khas,700000.0,9000.0,Semi-Furnished,6.0
AGENT,4.0,BHK,Independent Floor,Greater kailash 1,100000.0,5850.0,Semi-Furnished,5.0
AGENT,4.0,BHK,Independent Floor,Greater kailash 1,160000.0,4950.0,Semi-Furnished,5.0
AGENT,5.0,BHK,Independent Floor,Hauz Khas,200000.0,5445.0,Semi-Furnished,6.0
AGENT,1.0,BHK,Apartment,Masjid Moth Village,27000.0,800.0,Furnished,1.0
AGENT,4.0,BHK,Independent Floor,Hauz Khas,200000.0,4510.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Saket,75000.0,2701.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Apartment,Safdarjung Enclave,110000.0,2000.0,Semi-Furnished,3.0
AGENT,1.0,RK,Studio Apartment,Panchsheel Park,20000.0,500.0,Furnished,1.0
AGENT,1.0,BHK,Apartment,Safdarjung Development Area,45000.0,1200.0,Furnished,1.0
AGENT,3.0,BHK,Apartment,Green Park,60000.0,1600.0,Semi-Furnished,3.0
AGENT,1.0,RK,Studio Apartment,Green Park,17000.0,500.0,Furnished,1.0
AGENT,3.0,BHK,Apartment,Defence Colony,50000.0,1800.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Greater Kailash,80000.0,2700.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Hauz Khas,150000.0,5400.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Apartment,Safdarjung Enclave,70000.0,1600.0,Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Greater Kailash,90000.0,2700.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Sheikh Sarai,200000.0,7000.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Panchsheel Park,140000.0,4050.0,Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Saket,100000.0,3610.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Apartment,Hauz Khas,65000.0,2400.0,Semi-Furnished,3.0
AGENT,3.0,BHK,Independent Floor,Safdarjung Enclave,55000.0,1800.0,Furnished,3.0
AGENT,3.0,BHK,Independent Floor,Green Park,90000.0,1801.0,Semi-Furnished,3.0
AGENT,2.0,BHK,Independent Floor,Lajpat Nagar,37000.0,900.0,Semi-Furnished,2.0
AGENT,3.0,BHK,Independent Floor,Hauz Khas,110000.0,1700.0,Semi-Furnished,3.0
